PMID	Labeling_State	Correct_Label	Agreement	vector	predicted	true_cats
27002269	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.25	[0.68, 0.7, 0.77, 0.7]	1	1
30466122	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.3	[2.27, 1.32, 1.32, 2.1]	-1	-1
28266089	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.3	[1.46, 2.24, 2.14, 1.44]	0	2
31673367	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.308	[2.7, 2.92, 2.12, 1.32]	0	2
30443536	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.333	[2.8, 3.1, 2.98, 0.0]	0	2
31994957	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.333	[2.66, 3.06, 2.92, 0.0]	0	-1
26399329	Gold Standard	'0 - the study does not directly investigate quality of life'	0.333	[0.0, 0.84, 0.62, 0.62]	0	0
21306237	Gold Standard	'0 - the study does not directly investigate quality of life'	0.353	[4.23, 3.38, 4.27, 0.0]	1	0
33758820	Gold Standard	'0 - the study does not directly investigate quality of life'	0.357	[2.88, 3.62, 3.52, 0.0]	0	0
23418997	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.357	[3.34, 3.63, 2.76, 0.0]	0	-1
32061857	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.357	[2.8, 3.54, 3.5, 0.0]	0	1
32568150	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.357	[2.58, 3.72, 2.86, 0.7]	0	2
31038230	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.357	[3.68, 3.68, 2.86, 0.0]	-1	1
22131679	Gold Standard	'0 - the study does not directly investigate quality of life'	0.357	[3.54, 3.92, 3.01, 0.0]	0	0
22185050	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.364	[1.32, 2.92, 1.36, 2.04]	0	2
26445325	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.364	[2.28, 3.14, 3.02, 0.0]	0	1
20592857	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.4	[0.74, 1.5, 1.38, 0.0]	0	1
12791330	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.4	[0.0, 1.38, 1.54, 0.7]	1	1
15663130	Gold Standard	'0 - the study does not directly investigate quality of life'	0.4	[0.6, 1.34, 1.36, 0.0]	1	0
25736164	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.4	[0.61, 1.58, 0.0, 1.61]	2	2
25845857	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.4	[0.0, 0.64, 1.37, 1.38]	2	2
29575626	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.4	[0.0, 1.36, 0.82, 1.28]	0	2
30996384	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.4	[0.66, 1.4, 1.35, 0.0]	0	1
28820301	Gold Standard	'0 - the study does not directly investigate quality of life'	0.426	[39.85, 34.97, 19.11, 0.0]	-1	0
27823948	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.492	[1.28, 45.24, 44.98, 0.82]	0	1
22213776	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 0.68, 0.76, 1.51]	2	1
18688785	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.37, 1.46, 0.0]	1	1
20209594	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.5	[0.0, 0.69, 1.44, 0.6]	1	2
21719429	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.0, 1.62, 1.52, 0.0]	0	0
24321081	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.82, 0.7, 0.0, 0.0]	-1	0
32186590	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.95, 2.36, 0.0]	1	1
20433730	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.48, 1.4, 0.0]	0	1
11689996	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.7, 0.64, 1.28, 0.0]	1	0
28754072	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.5	[6.72, 1.28, 0.6, 3.73]	-1	-1
22910174	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[1.36, 1.38, 0.0, 0.0]	0	0
31470768	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.5	[0.0, 1.54, 0.0, 1.29]	0	2
26504125	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.66, 0.76, 1.28, 0.0]	1	0
24237632	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.5, 1.52, 0.0]	1	1
19942457	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.44, 1.58, 0.0]	1	1
30375317	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[2.08, 1.98, 0.0, 0.0]	-1	0
34076273	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.5	[0.0, 0.0, 0.74, 0.72]	1	2
22208118	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.62, 1.62, 0.7, 0.0]	0	0
20010911	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.64, 1.44, 2.04, 0.0]	1	1
12214902	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[1.42, 1.34, 2.92, 0.0]	1	1
30497218	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.0, 1.54, 0.62, 0.68]	0	0
12609271	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 0.74, 1.26, 0.68]	1	1
22721255	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.5	[0.0, 0.76, 0.6, 1.55]	2	2
31902052	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.64, 2.02, 1.32, 0.0]	0	1
22679413	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.0, 0.64, 0.78, 0.0]	1	0
31742894	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.62, 2.08, 1.59, 0.0]	0	1
30871879	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.5	[0.0, 0.6, 0.6, 1.56]	2	2
32014003	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.5	[0.66, 0.0, 0.0, 0.66]	-1	2
32844998	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.66, 0.8, 0.0, 0.0]	0	0
32299507	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.0, 1.44, 1.34, 0.0]	0	0
20601971	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 0.6, 0.68, 0.0]	1	1
21061899	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.62, 0.0, 0.7, 1.44]	2	1
28848425	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.38, 1.44, 0.0]	1	1
22870473	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.66, 0.65, 1.52, 0.0]	1	1
15333688	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.7, 1.4, 0.6, 0.0]	0	0
25307854	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 0.68, 1.52, 0.78]	1	1
27067697	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.62, 1.5, 0.68, 0.0]	0	1
31330249	Gold Standard	'0 - the study does not directly investigate quality of life'	0.5	[0.0, 1.26, 1.44, 0.0]	1	0
17924237	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.5	[0.0, 0.0, 1.34, 1.56]	2	2
30672136	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.5	[0.0, 1.3, 1.4, 0.0]	1	1
24912732	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.559	[5.24, 56.05, 36.26, 1.22]	0	1
25168376	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.567	[33.19, 53.1, 4.12, 2.68]	0	2
26751606	Gold Standard	'0 - the study does not directly investigate quality of life'	0.571	[0.64, 3.0, 1.28, 0.0]	0	0
19948417	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.571	[1.42, 0.0, 0.6, 2.98]	2	2
24942542	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.571	[0.6, 2.89, 0.71, 0.8]	0	1
26108240	Gold Standard	'0 - the study does not directly investigate quality of life'	0.571	[0.68, 2.92, 1.44, 0.0]	0	0
32959446	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.571	[5.64, 3.88, 0.0, 0.0]	-1	-1
34590355	Gold Standard	'0 - the study does not directly investigate quality of life'	0.571	[0.0, 2.76, 2.17, 0.0]	0	0
34018012	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.571	[0.0, 2.07, 2.62, 0.0]	1	1
27798725	Gold Standard	'0 - the study does not directly investigate quality of life'	0.598	[0.0, 34.6, 52.32, 0.0]	1	0
18306329	Gold Standard	'0 - the study does not directly investigate quality of life'	0.599	[1.32, 37.74, 58.48, 0.0]	1	0
33159471	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.6	[0.0, 2.16, 4.02, 0.64]	1	1
31769253	Gold Standard	'0 - the study does not directly investigate quality of life'	0.6	[0.0, 2.1, 1.4, 0.0]	0	0
33862315	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.6	[0.0, 0.0, 1.44, 2.07]	2	2
11460909	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.6	[0.0, 1.3, 4.3, 1.24]	1	1
31928107	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.6	[0.0, 1.48, 2.15, 0.0]	1	1
31615556	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.6	[0.0, 2.28, 1.44, 0.0]	0	1
29637391	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.6	[0.6, 2.02, 0.62, 0.0]	0	1
29981580	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.6	[0.6, 0.6, 1.98, 0.0]	1	1
24058202	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.6	[0.0, 2.28, 0.66, 0.74]	0	1
22258042	Gold Standard	'0 - the study does not directly investigate quality of life'	0.6	[0.76, 2.02, 0.68, 0.0]	0	0
34123455	Gold Standard	'0 - the study does not directly investigate quality of life'	0.609	[5.16, 58.12, 31.42, 0.0]	0	0
30200816	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.625	[7.35, 0.63, 3.28, 0.0]	-1	-1
34094020	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.628	[4.8, 64.08, 31.81, 1.2]	0	1
12609309	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.632	[8.95, 2.62, 2.14, 0.0]	-1	-1
17611444	Gold Standard	'0 - the study does not directly investigate quality of life'	0.636	[21.1, 59.48, 9.95, 0.62]	0	0
24860645	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.65	[9.0, 1.85, 2.56, 0.0]	-1	-1
27184947	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.652	[10.72, 1.22, 4.0, 0.0]	-1	-1
17105463	Gold Standard	'0 - the study does not directly investigate quality of life'	0.653	[29.7, 65.79, 4.58, 0.0]	0	0
18414785	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.662	[9.64, 63.89, 5.2, 18.03]	0	2
10774604	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 0.62, 1.54, 0.0]	1	0
26992743	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.62, 1.4, 0.0, 0.0]	0	0
28593385	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 1.24, 0.82, 0.0]	0	0
23557722	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.667	[0.0, 0.6, 1.36, 0.0]	1	1
23165758	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[1.34, 2.7, 0.0, 0.0]	0	0
32658385	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.667	[0.0, 0.62, 2.84, 0.76]	1	1
26426855	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.667	[0.0, 0.0, 0.84, 1.33]	2	1
33996351	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.667	[0.0, 1.3, 2.9, 0.0]	1	1
34019007	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[1.26, 0.0, 0.76, 0.0]	-1	0
16734412	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 1.4, 0.66, 0.0]	0	0
18495178	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.76, 1.44, 0.0, 0.0]	0	0
26436955	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 1.5, 0.72, 0.0]	0	0
26307081	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 1.28, 0.66, 0.0]	0	0
25336963	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.667	[0.0, 0.71, 0.0, 1.38]	2	2
29153022	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.68, 1.4, 0.0, 0.0]	0	0
32476528	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.667	[0.0, 0.0, 0.72, 1.36]	2	2
33094000	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 1.44, 0.62, 0.0]	0	0
31372341	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.667	[0.0, 0.0, 0.66, 1.33]	2	2
23539488	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.667	[7.32, 2.62, 0.62, 0.0]	-1	-1
23472624	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 1.26, 0.0, 0.76]	0	0
31440199	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 0.7, 1.46, 0.0]	1	0
12628070	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.6, 2.62, 0.72, 0.0]	0	0
18930363	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.667	[0.0, 0.0, 0.68, 1.4]	2	2
28889845	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.667	[0.0, 0.0, 1.3, 0.84]	1	1
28535810	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.667	[0.68, 0.6, 2.96, 0.0]	1	1
31403374	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.667	[0.0, 1.26, 0.64, 0.0]	0	1
23490456	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.667	[0.0, 1.28, 0.0, 0.6]	0	1
27358286	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.667	[0.63, 3.0, 0.66, 0.0]	0	2
16652077	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 1.26, 0.6, 0.0]	0	0
31719169	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.667	[0.0, 0.66, 1.52, 0.0]	1	1
32380069	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.68, 1.58, 0.0, 0.0]	0	0
32090147	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.66, 1.56, 0.0, 0.0]	0	0
25724846	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[0.0, 2.77, 1.33, 0.0]	0	0
20627321	Gold Standard	'0 - the study does not directly investigate quality of life'	0.667	[1.28, 0.76, 0.0, 0.0]	-1	0
12092186	Gold Standard	'0 - the study does not directly investigate quality of life'	0.671	[12.6, 68.87, 18.97, 0.64]	0	0
23686724	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.676	[68.02, 24.94, 6.19, 0.0]	-1	-1
33027869	Gold Standard	'0 - the study does not directly investigate quality of life'	0.678	[27.69, 68.41, 3.66, 0.62]	0	0
31286108	Gold Standard	'0 - the study does not directly investigate quality of life'	0.693	[6.46, 66.57, 20.5, 0.63]	0	0
22073053	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.706	[8.19, 2.71, 0.65, 0.0]	-1	-1
29552494	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.714	[0.0, 0.68, 3.52, 0.6]	1	1
24774721	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.714	[0.0, 1.5, 3.3, 0.0]	1	1
28420367	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.714	[0.65, 0.61, 3.76, 0.0]	1	1
34635134	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.714	[0.0, 1.22, 3.42, 0.0]	1	1
19969478	Gold Standard	'0 - the study does not directly investigate quality of life'	0.719	[19.84, 67.42, 6.12, 0.0]	0	0
26579965	Gold Standard	'0 - the study does not directly investigate quality of life'	0.739	[1.28, 73.52, 23.33, 0.68]	0	0
19057423	Gold Standard	'0 - the study does not directly investigate quality of life'	0.741	[1.28, 75.21, 23.52, 0.64]	0	0
17531444	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.75	[0.0, 0.0, 1.97, 0.7]	1	2
34316305	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.0, 2.22, 0.6, 0.0]	0	0
32103756	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[11.62, 71.3, 11.27, 0.0]	0	0
16283343	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.75	[0.0, 0.7, 2.2, 0.0]	1	1
34070569	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.75	[0.0, 0.0, 0.6, 2.25]	2	2
26375451	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.75	[0.0, 0.6, 2.1, 0.0]	1	1
34103343	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.0, 2.0, 0.66, 0.0]	0	0
28119378	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.0, 2.12, 0.64, 0.0]	0	0
16001821	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.0, 2.37, 0.0, 0.62]	0	0
32522973	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.7, 2.04, 0.0, 0.0]	0	0
22878967	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.0, 2.1, 0.7, 0.0]	0	0
32222840	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.0, 2.18, 0.0, 0.68]	0	0
15050127	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.64, 2.13, 0.0, 0.0]	0	0
23517897	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.74, 2.2, 0.0, 0.0]	0	0
32933962	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.75	[0.0, 0.0, 2.08, 0.6]	1	1
24587054	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.66, 2.14, 0.0, 0.0]	0	0
11467653	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.75	[0.0, 0.0, 0.6, 2.12]	2	2
25240122	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.0, 2.02, 0.6, 0.0]	0	0
25887861	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.75	[1.28, 0.0, 4.29, 0.0]	1	1
22684049	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.75	[0.0, 0.0, 0.78, 2.02]	2	1
25025685	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.75	[0.62, 0.0, 1.94, 0.0]	1	1
21697252	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.0, 1.9, 0.64, 0.0]	0	0
11990307	Gold Standard	'0 - the study does not directly investigate quality of life'	0.75	[0.0, 2.04, 0.0, 0.6]	0	0
31196128	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.75	[0.0, 0.0, 1.26, 4.19]	2	1
25199101	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.759	[1.86, 19.59, 71.28, 0.0]	1	1
34200087	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.764	[6.2, 74.9, 14.94, 1.34]	0	2
20226896	Gold Standard	'-1 - the paper is not a primary experimental study in rare disease'	0.773	[11.86, 3.3, 0.0, 0.0]	-1	-1
20719406	Gold Standard	'1 - the study investigates qol but not as its primary contribution'	0.775	[1.22, 18.34, 75.4, 0.66]	1	1
19913812	Gold Standard	'2 - the study's primary contribution centers on quality of life measures'	0.778	[0.6, 5.62, 0.62, 0.0]	0	2
28178141	Gold Standard	'0 - the study does not directly investigate quality of life'	0.781	[2.52, 82.22, 19.36, 0.0]	0	0
32058213	Gold Standard	'0 - the study does not directly investigate quality of life'	0.783	[3.78, 75.48, 15.9, 0.62]	0	0
